block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,03042331,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,03042331,right,1,NA,NA,2.187
practice,bowl.jpg,null,,03042331,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,03042331,right,1,NA,NA,1.912
practice,bowl.jpg,null,,03042331,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,03042331,left,1,NA,NA,1.865
practice,con_left_practice.jpg,congruent,left,03042331,left,1,NA,NA,3.393
practice,in_left_practice.jpg,incongruent,left,03042331,right,0,1,ci,3.462
practice,con_right_practice.jpg,congruent,right,03042331,right,1,1,ic,4.076
practice,nogo_right_practice.jpg,nogo,right,03042331,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,03042331,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,03042331,NA,1,1,ix,-1
test,con_right.jpg,congruent,right,03042331,NA,0,NA,NA,-1
test,con_right.jpg,congruent,right,03042331,right,1,0,cc,2.582
test,nogo_left.jpg,nogo,left,03042331,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,03042331,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,03042331,NA,0,1,xi,-1
test,in_left.jpg,incongruent,left,03042331,right,0,0,ii,3.447
test,con_left.jpg,congruent,left,03042331,NA,0,1,ic,-1
test,con_left.jpg,congruent,left,03042331,left,1,0,cc,4.247
test,in_right.jpg,incongruent,right,03042331,NA,0,1,ci,-1
test,in_right.jpg,incongruent,right,03042331,NA,0,0,ii,-1
test,nogo_left.jpg,nogo,left,03042331,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,03042331,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,03042331,left,1,1,xc,2.228
test,in_right.jpg,incongruent,right,03042331,right,1,1,ci,3.314
test,in_right.jpg,incongruent,right,03042331,left,0,0,ii,2.645
test,nogo_right.jpg,nogo,right,03042331,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,03042331,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,03042331,right,1,1,xc,1.915
test,con_left.jpg,congruent,left,03042331,left,1,0,cc,1.662
test,nogo_left.jpg,nogo,left,03042331,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,03042331,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,03042331,right,0,1,xi,2.429
test,in_left.jpg,incongruent,left,03042331,right,0,0,ii,3.464
test,nogo_right.jpg,nogo,right,03042331,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,03042331,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,03042331,left,0,1,xi,2.598
test,in_left.jpg,incongruent,left,03042331,right,0,0,ii,2.880
test,con_right.jpg,congruent,right,03042331,right,1,1,ic,2.598
test,con_right.jpg,congruent,right,03042331,right,1,0,cc,4.147
test,nogo_right.jpg,nogo,right,03042331,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,03042331,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,03042331,left,1,1,xc,2.079
test,con_left.jpg,congruent,left,03042331,left,1,0,cc,2.783
test,in_right.jpg,incongruent,right,03042331,NA,0,1,ci,-1
test,in_left.jpg,incongruent,left,03042331,NA,0,0,ii,-1
test,con_right.jpg,congruent,right,03042331,right,1,1,ic,3.062
