block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,13022331,left,1,NA,NA,2.732
practice,right_fish.jpg,null,right,13022331,right,1,NA,NA,2.283
practice,bowl.jpg,null,,13022331,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,13022331,right,1,NA,NA,2.134
practice,bowl.jpg,null,,13022331,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,13022331,left,1,NA,NA,4.397
practice,con_left_practice.jpg,congruent,left,13022331,left,1,NA,NA,2.374
practice,in_left_practice.jpg,incongruent,left,13022331,left,1,1,ci,3.149
practice,con_right_practice.jpg,congruent,right,13022331,right,1,1,ic,1.882
practice,nogo_right_practice.jpg,nogo,right,13022331,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,13022331,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,13022331,NA,1,1,ix,-1
test,in_right.jpg,incongruent,right,13022331,left,0,NA,NA,2.198
test,nogo_right.jpg,nogo,right,13022331,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,13022331,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,13022331,left,0,1,xi,1.834
test,in_left.jpg,incongruent,left,13022331,right,0,0,ii,2.053
test,con_left.jpg,congruent,left,13022331,left,1,1,ic,1.922
test,con_right.jpg,congruent,right,13022331,right,1,0,cc,1.371
test,in_left.jpg,incongruent,left,13022331,left,1,1,ci,1.943
test,in_left.jpg,incongruent,left,13022331,right,0,0,ii,1.911
test,con_right.jpg,congruent,right,13022331,right,1,1,ic,2.749
test,con_left.jpg,congruent,left,13022331,left,1,0,cc,1.511
test,in_left.jpg,incongruent,left,13022331,right,0,1,ci,1.368
test,in_right.jpg,incongruent,right,13022331,left,0,0,ii,1.617
test,nogo_left.jpg,nogo,left,13022331,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,13022331,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,13022331,right,1,1,xc,2.034
test,con_right.jpg,congruent,right,13022331,right,1,0,cc,2.145
test,nogo_right.jpg,nogo,right,13022331,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,13022331,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,13022331,left,1,1,xc,1.548
test,con_left.jpg,congruent,left,13022331,left,1,0,cc,2.534
test,nogo_right.jpg,nogo,right,13022331,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,13022331,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,13022331,left,1,1,xi,2.134
test,in_right.jpg,incongruent,right,13022331,left,0,0,ii,2.732
test,con_right.jpg,congruent,right,13022331,right,1,1,ic,2.896
test,con_left.jpg,congruent,left,13022331,left,1,0,cc,3.564
test,in_right.jpg,incongruent,right,13022331,right,1,1,ci,1.344
test,in_right.jpg,incongruent,right,13022331,left,0,0,ii,1.261
test,nogo_right.jpg,nogo,right,13022331,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,13022331,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,13022331,left,1,1,xc,1.967
test,con_right.jpg,congruent,right,13022331,right,1,0,cc,1.586
test,nogo_left.jpg,nogo,left,13022331,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,13022331,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,13022331,left,1,1,xi,1.765
