block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,13022332,left,1,NA,NA,4.681
practice,right_fish.jpg,null,right,13022332,right,1,NA,NA,1.592
practice,bowl.jpg,null,,13022332,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,13022332,left,0,NA,NA,1.312
practice,bowl.jpg,null,,13022332,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,13022332,left,1,NA,NA,3.347
practice,con_left_practice.jpg,congruent,left,13022332,left,1,NA,NA,4.472
practice,in_left_practice.jpg,incongruent,left,13022332,NA,0,1,ci,-1
practice,con_right_practice.jpg,congruent,right,13022332,right,1,1,ic,2.679
practice,nogo_right_practice.jpg,nogo,right,13022332,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,13022332,right,1,1,xi,3.878
practice,nogo_left_practice.jpg,nogo,left,13022332,NA,1,1,ix,-1
test,con_right.jpg,congruent,right,13022332,right,1,NA,NA,2.675
test,con_left.jpg,congruent,left,13022332,left,1,0,cc,1.144
test,in_right.jpg,incongruent,right,13022332,right,1,1,ci,4.159
test,in_left.jpg,incongruent,left,13022332,NA,0,0,ii,-1
test,con_right.jpg,congruent,right,13022332,NA,0,1,ic,-1
test,nogo_left.jpg,nogo,left,13022332,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,13022332,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,13022332,left,1,1,xc,1.814
test,con_right.jpg,congruent,right,13022332,right,1,0,cc,1.380
test,nogo_right.jpg,nogo,right,13022332,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,13022332,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,13022332,left,1,1,xc,1.362
test,con_left.jpg,congruent,left,13022332,left,1,0,cc,2.097
test,nogo_left.jpg,nogo,left,13022332,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,13022332,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,13022332,NA,0,1,xi,-1
test,in_right.jpg,incongruent,right,13022332,left,0,0,ii,2.468
test,con_right.jpg,congruent,right,13022332,right,1,1,ic,1.614
test,con_right.jpg,congruent,right,13022332,right,1,0,cc,1.847
test,in_right.jpg,incongruent,right,13022332,left,0,1,ci,3.181
test,in_right.jpg,incongruent,right,13022332,left,0,0,ii,2.496
test,nogo_left.jpg,nogo,left,13022332,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,13022332,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,13022332,NA,0,1,xi,-1
test,in_left.jpg,incongruent,left,13022332,right,0,0,ii,2.132
test,nogo_right.jpg,nogo,right,13022332,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,13022332,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,13022332,right,0,1,xi,2.580
test,in_left.jpg,incongruent,left,13022332,right,0,0,ii,2.016
test,nogo_right.jpg,nogo,right,13022332,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,13022332,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,13022332,right,1,1,xc,1.529
test,con_left.jpg,congruent,left,13022332,left,1,0,cc,1.129
test,in_right.jpg,incongruent,right,13022332,left,0,1,ci,2.046
test,in_right.jpg,incongruent,right,13022332,left,0,0,ii,2.381
test,con_left.jpg,congruent,left,13022332,left,1,1,ic,1.298
