block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,31032324,left,1,NA,NA,0.972
practice,right_fish.jpg,null,right,31032324,right,1,NA,NA,0.902
practice,bowl.jpg,null,,31032324,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,31032324,right,1,NA,NA,0.885
practice,bowl.jpg,null,,31032324,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,31032324,left,1,NA,NA,0.879
practice,con_left_practice.jpg,congruent,left,31032324,left,1,NA,NA,2.547
practice,in_left_practice.jpg,incongruent,left,31032324,left,1,1,ci,2.597
practice,con_right_practice.jpg,congruent,right,31032324,right,1,1,ic,1.419
practice,nogo_right_practice.jpg,nogo,right,31032324,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,31032324,right,1,1,xi,1.664
practice,nogo_left_practice.jpg,nogo,left,31032324,NA,1,1,ix,-1
test,con_right.jpg,congruent,right,31032324,right,1,NA,NA,1.364
test,con_left.jpg,congruent,left,31032324,left,1,0,cc,1.035
test,in_left.jpg,incongruent,left,31032324,left,1,1,ci,1.632
test,in_left.jpg,incongruent,left,31032324,left,1,0,ii,1.329
test,con_left.jpg,congruent,left,31032324,left,1,1,ic,1.396
test,con_left.jpg,congruent,left,31032324,left,1,0,cc,2.294
test,nogo_right.jpg,nogo,right,31032324,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,31032324,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,31032324,right,1,1,xc,1.483
test,con_left.jpg,congruent,left,31032324,left,1,0,cc,1.068
test,nogo_left.jpg,nogo,left,31032324,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,31032324,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,31032324,left,1,1,xi,0.951
test,in_right.jpg,incongruent,right,31032324,right,1,0,ii,1.478
test,nogo_right.jpg,nogo,right,31032324,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,31032324,NA,1,0,xx,-1
test,con_left.jpg,congruent,left,31032324,left,1,1,xc,1.400
test,in_right.jpg,incongruent,right,31032324,right,1,1,ci,1.253
test,in_right.jpg,incongruent,right,31032324,right,1,0,ii,1.584
test,nogo_right.jpg,nogo,right,31032324,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,31032324,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,31032324,left,1,1,xi,1.280
test,in_right.jpg,incongruent,right,31032324,right,1,0,ii,1.486
test,con_right.jpg,congruent,right,31032324,right,1,1,ic,1.403
test,con_right.jpg,congruent,right,31032324,right,1,0,cc,1.019
test,nogo_right.jpg,nogo,right,31032324,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,31032324,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,31032324,right,1,1,xi,1.269
test,in_left.jpg,incongruent,left,31032324,left,1,0,ii,1.634
test,nogo_left.jpg,nogo,left,31032324,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,31032324,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,31032324,right,1,1,xc,1.449
test,con_right.jpg,congruent,right,31032324,right,1,0,cc,1.111
test,in_left.jpg,incongruent,left,31032324,left,1,1,ci,1.135
test,in_right.jpg,incongruent,right,31032324,right,1,0,ii,1.167
test,con_left.jpg,congruent,left,31032324,left,1,1,ic,1.214
