block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,33003237,left,1,NA,NA,4.346
practice,right_fish.jpg,null,right,33003237,right,1,NA,NA,3.339
practice,bowl.jpg,null,,33003237,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,33003237,right,1,NA,NA,2.275
practice,bowl.jpg,null,,33003237,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,33003237,left,1,NA,NA,1.946
practice,con_left_practice.jpg,congruent,left,33003237,left,1,NA,NA,3.673
practice,in_left_practice.jpg,incongruent,left,33003237,left,1,1,ci,2.791
practice,con_right_practice.jpg,congruent,right,33003237,NA,0,1,ic,-1
practice,nogo_right_practice.jpg,nogo,right,33003237,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,33003237,NA,0,1,xi,-1
practice,nogo_left_practice.jpg,nogo,left,33003237,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,33003237,NA,1,NA,NA,-1
test,nogo_left.jpg,nogo,left,33003237,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,33003237,left,1,1,xi,4.306
test,in_right.jpg,incongruent,right,33003237,NA,0,0,ii,-1
test,con_left.jpg,congruent,left,33003237,right,0,1,ic,3.178
test,con_right.jpg,congruent,right,33003237,left,0,0,cc,1.708
test,in_left.jpg,incongruent,left,33003237,left,1,1,ci,3.906
test,in_right.jpg,incongruent,right,33003237,right,1,0,ii,2.444
test,nogo_left.jpg,nogo,left,33003237,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,33003237,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,33003237,left,0,1,xc,2.709
test,con_left.jpg,congruent,left,33003237,right,0,0,cc,1.713
test,in_left.jpg,incongruent,left,33003237,left,1,1,ci,2.225
test,in_left.jpg,incongruent,left,33003237,left,1,0,ii,3.060
test,con_left.jpg,congruent,left,33003237,right,0,1,ic,1.747
test,con_left.jpg,congruent,left,33003237,right,0,0,cc,1.594
test,in_left.jpg,incongruent,left,33003237,left,1,1,ci,3.242
test,in_right.jpg,incongruent,right,33003237,right,1,0,ii,3.308
test,con_left.jpg,congruent,left,33003237,right,0,1,ic,2.513
test,con_left.jpg,congruent,left,33003237,left,1,0,cc,1.360
test,nogo_left.jpg,nogo,left,33003237,NA,1,1,cx,-1
test,con_right.jpg,congruent,right,33003237,left,0,1,xc,2.755
test,con_right.jpg,congruent,right,33003237,left,0,0,cc,3.926
test,nogo_right.jpg,nogo,right,33003237,NA,1,1,cx,-1
test,nogo_right.jpg,nogo,right,33003237,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,33003237,NA,0,1,xi,-1
test,in_right.jpg,incongruent,right,33003237,right,1,0,ii,2.511
test,nogo_right.jpg,nogo,right,33003237,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,33003237,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,33003237,NA,0,1,xi,-1
test,in_right.jpg,incongruent,right,33003237,right,1,0,ii,2.523
test,nogo_right.jpg,nogo,right,33003237,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,33003237,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,33003237,left,0,1,xc,1.459
test,con_right.jpg,congruent,right,33003237,left,0,0,cc,1.496
test,nogo_right.jpg,nogo,right,33003237,NA,1,1,cx,-1
