"","block","image","condition","direction","subject","response","correct","switch","switchType","rt","participant_number_fl","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude"
"1","practice","left_fish.jpg","null","left",3042331,NA,0,NA,NA,-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"2","practice","right_fish.jpg","null","right",3042331,"right",1,NA,NA,2.187,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"3","practice","bowl.jpg","null",NA,3042331,NA,0,NA,NA,-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"4","practice","right_fish.jpg","null","right",3042331,"right",1,NA,NA,1.912,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"5","practice","bowl.jpg","null",NA,3042331,NA,0,NA,NA,-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"6","practice","left_fish.jpg","null","left",3042331,"left",1,NA,NA,1.865,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"7","practice","con_left_practice.jpg","congruent","left",3042331,"left",1,NA,NA,3.393,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"8","practice","in_left_practice.jpg","incongruent","left",3042331,"right",0,1,"ci",3.462,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"9","practice","con_right_practice.jpg","congruent","right",3042331,"right",1,1,"ic",4.076,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"10","practice","nogo_right_practice.jpg","nogo","right",3042331,NA,1,1,"cx",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"11","practice","in_right_practice.jpg","incongruent","right",3042331,NA,0,1,"xi",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"12","practice","nogo_left_practice.jpg","nogo","left",3042331,NA,1,1,"ix",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"13","test","con_right.jpg","congruent","right",3042331,NA,0,NA,NA,-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"14","test","con_right.jpg","congruent","right",3042331,"right",1,0,"cc",2.582,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"15","test","nogo_left.jpg","nogo","left",3042331,NA,1,1,"cx",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"16","test","nogo_left.jpg","nogo","left",3042331,NA,1,0,"xx",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
"17","test","in_left.jpg","incongruent","left",3042331,NA,0,1,"xi",-1,3042331,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no"
