"","participant_number_fl","congruent_mean_rt","incongruent_mean_rt","congruency_effect_rt","overall_mean_congruency_rt","overall_sd_congruency_rt","flanker_congruency_rt_z_score","congruent_mean_acc","incongruent_mean_acc","nogo_mean_acc","congruency_effect_acc","overall_mean_congruency_acc","overall_sd_congruency_acc","flanker_congruency_acc_z_score","composite_congruency_effect","nonswitch_mean_rt","switch_mean_rt","switch_effect_rt","overall_mean_switch","overall_sd_switch","flanker_switch_rt_z_score","nonswitch_mean_acc","switch_mean_acc","switch_effect_acc","overall_mean_switch_acc","overall_sd_switch_acc","flanker_switch_acc_z_score","composite_switch_effect","go_mean_acc","go_mean_errors","nogo_mean_errors","nogo_effect","overall_mean_nogo_effect","overall_sd_nogo_effect","flanker_nogo_effect_z_score","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude","mean_age_months","sd_age_months","age_months_z_score"
"1",3042331,2.7303,3.314,0.5837,0.243255917457493,0.433110212197958,0.786044921025559,0.833333333333333,0.0833333333333333,1,0.75,0.0894607843137255,0.233633502940449,2.82724526822097,1.80664509462327,3.0842,2.53266666666667,-0.551533333333333,0.228278758738843,0.376368608345382,-2.07193712435381,0.647058823529412,0.666666666666667,-0.0196078431372548,0.00245098039215686,0.092591421011293,-0.238238308565556,-1.15508771645968,0.458333333333333,0.541666666666667,0,-0.458333333333333,-0.764093137254902,0.295997545178227,1.03298087738351,3042301,"child","4-year-olds","2023-04-03",48,"4 years, 0 months","m",1,"adc3","ok","ok","no",64.9264705882353,9.40834208509484,-1.79909174593588
"2",3042333,3.0095,3.70266666666667,0.693166666666666,0.243255917457493,0.433110212197958,1.03879044302824,0.666666666666667,0.25,0.916666666666667,0.416666666666667,0.0894607843137255,0.233633502940449,1.40050925160482,1.21964984731653,3.13125,3.237,0.10575,0.228278758738843,0.376368608345382,-0.325555203122578,0.470588235294118,0.722222222222222,-0.251633986928105,0.00245098039215686,0.092591421011293,-2.74415236903289,-1.53485378607773,0.458333333333333,0.541666666666667,0.0833333333333334,-0.375,-0.764093137254902,0.295997545178227,1.31451474376458,3042303,"child","4-year-olds","2023-04-03",50,"4 years, 2 months","m",4,"adc3","normally wears glasses but was ok w/o them","not very fast; ??","no",64.9264705882353,9.40834208509484,-1.58651444146387
"3",3042334,1.57483333333333,2.49758333333333,0.92275,0.243255917457493,0.433110212197958,1.56887107116268,1,1,0.666666666666667,0,0.0894607843137255,0.233633502940449,-0.382910769165363,0.59298015099866,1.83381818181818,2.07383333333333,0.240015151515152,0.228278758738843,0.376368608345382,0.0311832403555251,0.764705882352941,1,-0.235294117647059,0.00245098039215686,0.092591421011293,-2.56767954787322,-1.26824815375885,1,0,0.333333333333333,-0.666666666666667,-0.764093137254902,0.295997545178227,0.329146211430816,4042302,"child","5-year-olds","2023-04-04",65,"5 years, 5 months","f",5,"adc3","ok","ok","no",64.9264705882353,9.40834208509484,0.00781534207617716
"4",3042336,1.94727272727273,1.95533333333333,0.0080606060606061,0.243255917457493,0.433110212197958,-0.543038018437182,0.916666666666667,1,0.833333333333333,-0.0833333333333334,0.0894607843137255,0.233633502940449,-0.739594773319401,-0.641316395878291,1.82618181818182,2.06981818181818,0.243636363636364,0.228278758738843,0.376368608345382,0.040804691350421,0.941176470588235,0.888888888888889,0.0522875816993464,0.00245098039215686,0.092591421011293,0.538242104536999,0.28952339794371,0.958333333333333,0.0416666666666666,0.166666666666667,-0.791666666666667,-0.764093137254902,0.295997545178227,-0.0931545881407975,3042304,"child","6-year-olds","2023-04-03",75,"6 years, 3 months","f",4,"adc3","talked a lot; said she didn't know; moved a lot","ok","no",64.9264705882353,9.40834208509484,1.07070186443621
"5",3303232,2.74008333333333,4.05766666666667,1.31758333333333,0.243255917457493,0.433110212197958,2.48049430749697,1,0.25,1,0.75,0.0894607843137255,0.233633502940449,2.82724526822097,2.65386978785897,2.87922222222222,3.19016666666667,0.310944444444444,0.228278758738843,0.376368608345382,0.219640224696268,0.823529411764706,0.666666666666667,0.156862745098039,0.00245098039215686,0.092591421011293,1.6676681599589,0.943654192327582,0.625,0.375,0,-0.625,-0.764093137254902,0.295997545178227,0.469913144621354,31032304,"child","4-year-olds","2023-03-31",51,"4 years, 3 months","f",6,"adc3","ok","ok","no",64.9264705882353,9.40834208509484,-1.48022578922787
"6",4042331,2.7022,2.666,-0.0362,0.243255917457493,0.433110212197958,-0.645230496965894,0.416666666666667,0.416666666666667,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.514070633065629,1.9925,3.7215,1.729,0.228278758738843,0.376368608345382,3.98737091241146,0.647058823529412,0.555555555555556,0.0915032679738562,0.00245098039215686,0.092591421011293,0.96177687532021,2.47457389386583,0.416666666666667,0.583333333333333,0,-0.416666666666667,-0.764093137254902,0.295997545178227,1.17374781057404,4042301,"child","4-year-olds","2023-04-04",51,"4 years, 3 months","f",3,"adc3","stood up a lot","ok","no",64.9264705882353,9.40834208509484,-1.48022578922787
"7",7022361,1.2505,1.48408333333333,0.233583333333333,0.243255917457493,0.433110212197958,-0.022332847048497,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.20262180810693,1.27566666666667,1.45891666666667,0.18325,0.228278758738843,0.376368608345382,-0.119640048984961,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.0730554860794559,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,7042303,"child","6-year-olds","2023-04-07",77,"6 years, 5 months","f",3,"adc6","ok","Elizabeth explained the task","no",64.9264705882353,9.40834208509484,1.28327916890822
"8",7042383,1.25325,1.54566666666667,0.292416666666667,0.243255917457493,0.433110212197958,0.113506326622252,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.134702221271556,1.29081818181818,1.37883333333333,0.0880151515151515,0.228278758738843,0.376368608345382,-0.372676158727286,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.199573540950619,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,5042301,"child","6-year-olds","2023-04-05",72,"6 years, 0 months","m",4,"adc8","ok","ok","no",64.9264705882353,9.40834208509484,0.7518359077282
"9",7042384,2.23483333333333,3.043125,0.808291666666666,0.243255917457493,0.433110212197958,1.30460038414176,1,0.666666666666667,1,0.333333333333333,0.0894607843137255,0.233633502940449,1.04382524745079,1.17421281579627,2.52,2.49888888888889,-0.0211111111111113,0.228278758738843,0.376368608345382,-0.662621335361467,0.941176470588235,0.833333333333333,0.107843137254902,0.00245098039215686,0.092591421011293,1.13824969647988,0.237814180559207,0.833333333333333,0.166666666666667,0,-0.833333333333333,-0.764093137254902,0.295997545178227,-0.233921521331335,7042301,"child","6-year-olds","2023-04-07",74,"6 years, 2 months","f",1,"adc8","ok","ok","no",64.9264705882353,9.40834208509484,0.964413212200207
"10",7042385,1.13216666666667,1.23891666666667,0.10675,0.243255917457493,0.433110212197958,-0.315175938163058,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.349043353664211,1.21958333333333,1.1515,-0.0680833333333333,0.228278758738843,0.376368608345382,-0.787425107994697,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.406948015584324,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,7042302,"child","6-year-olds","2023-04-07",72,"6 years, 0 months","f",2,"adc8","hair sometimes covered left eye","ok","no",64.9264705882353,9.40834208509484,0.7518359077282
"11",7042388,0.834666666666667,0.873416666666667,0.03875,0.243255917457493,0.433110212197958,-0.47217985560687,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.427545312386116,0.828636363636364,0.860416666666667,0.031780303030303,0.228278758738843,0.376368608345382,-0.522090448968101,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.274280686071026,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,7042305,"child","6-year-olds","2023-04-07",81,"6 years, 9 months","f",5,"adc8","ok","ok","no",64.9264705882353,9.40834208509484,1.70843377785223
"12",7042389,1.37658333333333,1.43783359132848,0.0612502579951448,0.243255917457493,0.433110212197958,-0.420229434301955,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.401570101733659,1.38718181818182,1.40800025799514,0.0208184398133267,0.228278758738843,0.376368608345382,-0.551215787728864,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.288843355451408,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,7042304,"child","6-year-olds","2023-04-07",75,"6 years, 3 months","m",4,"adc6","trial 23 should be 2 not 1","stopped looking as much at the screen near the end","no",64.9264705882353,9.40834208509484,1.07070186443621
"13",11042338,1.17772727272727,1.1293,-0.0484272727272728,0.243255917457493,0.433110212197958,-0.673461816345831,0.916666666666667,0.833333333333333,0.916666666666667,0.0833333333333333,0.0894607843137255,0.233633502940449,-0.0262267650113266,-0.349844290678579,1.0481,1.1731,0.125,0.228278758738843,0.376368608345382,-0.274408535804525,0.882352941176471,0.888888888888889,-0.00653594771241828,0.00245098039215686,0.092591421011293,-0.0970600516378191,-0.185734293721172,0.875,0.125,0.0833333333333334,-0.791666666666667,-0.764093137254902,0.295997545178227,-0.0931545881407971,11042305,"child","6-year-olds","2023-04-11",75,"6 years, 3 months","f",4,"adc3","ok","ok","no",64.9264705882353,9.40834208509484,1.07070186443621
"14",11042361,1.61875,1.7605,0.14175,0.243255917457493,0.433110212197958,-0.234365098302272,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.308637933733818,1.62525,1.754,0.12875,0.228278758738843,0.376368608345382,-0.264444899313995,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.145457911243973,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,11042302,"child","6-year-olds","2023-04-11",78,"6 years, 6 months","m",8,"adc6","squirmy","ok","no",64.9264705882353,9.40834208509484,1.38956782114422
"15",11042381,1.2415,1.33483333333333,0.0933333333333333,0.243255917457493,0.433110212197958,-0.346153426776359,1,1,0.75,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.364532097970861,1.268,1.3105,0.0425,0.228278758738843,0.376368608345382,-0.493608538596182,0.823529411764706,1,-0.176470588235294,0.00245098039215686,0.092591421011293,-1.9323773916984,-1.21299296514729,1,0,0.25,-0.75,-0.764093137254902,0.295997545178227,0.0476123450497406,11042301,"child","6-year-olds","2023-04-11",79,"6 years, 7 months","m",7,"adc8","trouble with audio settings at beginning but okay once adjusted right during calibration; hair falling in face","ok","no",64.9264705882353,9.40834208509484,1.49585647338022
"16",11042382,2.18466666666667,2.58441666666667,0.39975,0.243255917457493,0.433110212197958,0.36132623552866,1,1,0.666666666666667,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.0107922668183515,2.19358333333333,2.5755,0.381916666666667,0.228278758738843,0.376368608345382,0.408211270868889,0.882352941176471,0.944444444444444,-0.0620915032679739,0.00245098039215686,0.092591421011293,-0.697067643580703,-0.144428186355907,1,0,0.333333333333333,-0.666666666666667,-0.764093137254902,0.295997545178227,0.329146211430816,11042303,"child","6-year-olds","2023-04-11",80,"6 years, 8 months","f",1,"adc8","ok","ok","no",64.9264705882353,9.40834208509484,1.60214512561623
"17",11042383,1.996,2.51655555555556,0.520555555555556,0.243255917457493,0.433110212197958,0.640251904222752,1,0.75,1,0.25,0.0894607843137255,0.233633502940449,0.687141243296748,0.66369657375975,2.0562,2.36718181818182,0.310981818181818,0.228278758738843,0.376368608345382,0.219739525585197,0.941176470588235,0.944444444444444,-0.00326797385620914,0.00245098039215686,0.092591421011293,-0.0617654874058849,0.0789870190896561,0.875,0.125,0,-0.875,-0.764093137254902,0.295997545178227,-0.374688454521873,11042304,"child","6-year-olds","2023-04-11",77,"6 years, 5 months","m",3,"adc8","hesitated on first test trial","ok","no",64.9264705882353,9.40834208509484,1.28327916890822
"18",12042334,0.991916666666667,1.527,0.535083333333333,0.243255917457493,0.433110212197958,0.673794816323697,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,0.145442023579167,0.826727272727273,1.46258333333333,0.635856060606061,0.228278758738843,0.376368608345382,1.08292055402558,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,0.528224815425814,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,12042303,"child","6-year-olds","2023-04-12",72,"6 years, 0 months","m",8,"adc3","trial 19 should be 2 not 1","ok","no",64.9264705882353,9.40834208509484,0.7518359077282
"19",14032303,1.29466666666667,1.41966666666667,0.125,0.243255917457493,0.433110212197958,-0.273038857378505,1,1,0.833333333333333,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.327974813271934,1.35254545454545,1.37383333333333,0.0212878787878787,0.228278758738843,0.376368608345382,-0.549968502583018,0.882352941176471,1,-0.117647058823529,0.00245098039215686,0.092591421011293,-1.29707523552359,-0.923521869053302,1,0,0.166666666666667,-0.833333333333333,-0.764093137254902,0.295997545178227,-0.233921521331335,14032302,"child","6-year-olds","2023-03-14",73,"6 years, 1 months","f",2,"adc4","some trouble finding left eye but never had to recalibrate","ok","no",64.9264705882353,9.40834208509484,0.858124559964203
"20",14032304,1.2845,1.48841666666667,0.203916666666667,0.243255917457493,0.433110212197958,-0.0908296541685915,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.236870211666977,1.23309090909091,1.46975,0.236659090909091,0.228278758738843,0.376368608345382,0.0222662889104647,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.00210231713174303,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,14032304,"child","6-year-olds","2023-03-14",74,"6 years, 2 months","m",3,"adc4","skipped recalibration on test trial 2, 15, 20","ok","no",64.9264705882353,9.40834208509484,0.964413212200207
"21",14032305,1.529,1.971,0.442,0.243255917457493,0.433110212197958,0.458876463646323,1,0.916666666666667,1,0.0833333333333334,0.0894607843137255,0.233633502940449,-0.0262267650113261,0.216324849317498,1.61827272727273,1.79572727272727,0.177454545454546,0.228278758738843,0.376368608345382,-0.135038396288507,1,0.944444444444444,0.0555555555555556,0.00245098039215686,0.092591421011293,0.573536668768933,0.219249136240213,0.958333333333333,0.0416666666666666,0,-0.958333333333333,-0.764093137254902,0.295997545178227,-0.656222320902949,14032305,"child","5-year-olds","2023-03-14",69,"5 years, 9 months","m",4,"adc4","ok","ok","no",64.9264705882353,9.40834208509484,0.43296995102019
"22",14032306,1.34791666666667,1.4417558258756,0.0938391592089367,0.243255917457493,0.433110212197958,-0.344985534952621,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.363948152058992,1.35541666666667,1.4342558258756,0.0788391592089366,0.228278758738843,0.376368608345382,-0.397056492535026,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.211763707854488,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,14032306,"child","6-year-olds","2023-03-14",73,"6 years, 1 months","f",5,"adc4","ok","ok","no",64.9264705882353,9.40834208509484,0.858124559964203
"23",20032301,2.30988254698842,1.8642,-0.445682546988423,0.243255917457493,0.433110212197958,-1.59067702640784,0.916666666666667,0.416666666666667,1,0.5,0.0894607843137255,0.233633502940449,1.75719325575886,0.0832581146755108,1.89114285714286,2.13625,0.245107142857143,0.228278758738843,0.376368608345382,0.0447125072207324,0.764705882352941,0.777777777777778,-0.0130718954248367,0.00245098039215686,0.092591421011293,-0.167649180101689,-0.0614683364404781,0.666666666666667,0.333333333333333,0,-0.666666666666667,-0.764093137254902,0.295997545178227,0.329146211430816,20032301,"child","4-year-olds","2023-03-20",53,"4 years, 5 months","f",6,"adc5","lots of calibration issues at first but no issues after","distracted","no",64.9264705882353,9.40834208509484,-1.26764848475586
