32187.436 ********************************************************
32187.456 ** Session beginning Monday April 03, 2023 01:39:18 AM **
32187.458 ** ExperimentBuilder Project : 03042306 **
32187.459 ** ExperimentBuilder Version : 2.3.38 **
32187.460 ** ExperimentBuilder Build   : Jul 30 2020 **
32187.462 ********************************************************
32187.463 TRACKER_TIME 0 3028984.537
33369.677 PREPARE_SEQUENCE PREPARE_SEQUENCE
33378.383 DISPLAY_INSTRUCTIONS VIDEO.DISPLAY_INSTRUCTIONS (BEGIN) 
33383.227 DISPLAY_INSTRUCTIONS VIDEO.DISPLAY_INSTRUCTIONS
34806.803 KEYBOARD VIDEO.KEYBOARD
34809.146 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
34816.575 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO
34888.026 PLAY_SOUND_INITIAL_VIDEO VIDEO.PLAY_SOUND_INITIAL_VIDEO
34890.932 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
34899.115 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
34919.277 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
34937.399 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
34970.818 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35004.022 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35037.330 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35070.800 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35104.053 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35136.420 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35138.779 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35169.607 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35171.827 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35203.913 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35236.206 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35238.461 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35270.546 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35303.839 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35337.216 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35370.571 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35403.947 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35437.210 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35470.539 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35503.881 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35537.173 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35570.526 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35603.822 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35637.266 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35670.531 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35704.013 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35737.300 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35770.737 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35803.915 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35837.318 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35869.608 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35871.964 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
35903.980 DISPLAY_INITIAL_VIDEO VIDEO.DISPLAY_INITIAL_VIDEO (BEGIN) 
