Session_Name_	Trial_Index_	Trial_Recycled_	condition	audiofile	POSITIONS_LIST	SHOULD_WE_RECALIBRATE	trialnumber	novelword	contextnum	context	contrast	lexrelatedimage	nonlexrelatedimage	lexrelatedimagefile	nonlexrelatedimagefile	lexrelatedimageloc	nonlexrelatedimageloc	imageloccondition	list	practicestatus	testblock	firstimageside	secondimageside	firstpreviewaudiofile	secondpreviewaudiofile	breakvideo	key_pressed	rt	lex_related_image_selected	breakaudio	connectiveonset	novelwordonset	contextstart	keycontextonset	keycontextend	connectiveend	novelwordend	findstart	novelwordrepeatonset	novelwordrepeatend
17032305	1	False	training	ballon.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	T1	ballon	1	training	ballon_velo	ballonfoot	velo	ballonfoot.png	velo.png	2	1	training_2	5	training1	1	1	1	oh_regarde.wav	tu_vois_ca.wav	break_1.mov	2	2491	1	break_1.wav	0	5479	522	0	0	0	5757	7638	8821	9083
17032305	2	False	training	lampetorche.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	T2	lampetorche	2	training	tasse_lampe	lampetorche	tasse	lampetorche.png	tasse.png	1	2	training_1	5	training2	1	2	2	attention_regarde.wav	wow_regarde.wav	break_1.mov	1	1874	1	break_1.wav	0	0	278	0	0	0	0	8508	9459	10283
17032305	3	False	training	cereals.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	T3	cereals	1	training	cereals_lunettessoleil	cereals	lunettessoleil	cereals.png	lunettessoleil.png	2	1	training_2	5	training3	1	1	1	regarde.wav	hey_regarde.wav	break_1.mov	2	2888	1	break_1.wav	0	0	482	5233	5525	0	0	8072	9059	9840
17032305	4	False	mais	mouveille_sales_mais.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	20	mouveille	2	sales	propres_sales	machinealaver	armoire	machinealaver.png	armoire.png	1	2	mais_1	5	test	6	1	2	regarde.wav	tu_vois_ca.wav	break_5.mov	2	3179	0	break_5.wav	1958	2785	168	1270	1636	2092	3325	4418	5139	5742
17032305	5	False	mais	mige_noel_mais.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	18	mige	1	noel	noel_paques	sapinnoel	lapinpaques	sapinnoel.png	lapinpaques.png	2	1	mais_2	5	test	6	2	1	hey_regarde.wav	oh_regarde.wav	break_5.mov	1	933	0	break_5.wav	1049	2336	131	422	785	1197	2689	3810	4346	4852
17032305	6	False	alors	cageres_insectes_alors.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	17	cageres	2	insectes	etoiles_insectes	loupes	telescopes	loupes.png	telescopes.png	1	2	alors_1	5	test	6	2	2	wow_regarde.wav	attention_regarde.wav	break_5.mov	1	1746	1	break_5.wav	3276	4267	176	1847	2286	3523	4674	5788	6675	7307
17032305	7	False	alors	fomes_froidhumide_alors.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	14	fomes	1	froidhumide	froidhumide_chaudsec	bottespluie	sandales	bottespluie.png	sandales.png	2	1	alors_2	5	test	6	1	1	tu_vois_ca.wav	regarde.wav	break_5.mov	2	299472	1	break_5.wav	1638	2655	199	586	1428	1879	2972	4210	4947	5365
17032305	8	False	alors	bamoules_chambre_alors.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	5	bamoules	2	chambre	jardin_chambre	chaussons	chaussuresjardin	chaussons.png	chaussuresjardin.png	2	1	alors_2	5	test	2	2	2	regarde.wav	tu_vois_ca.wav	break_1.mov	2	922	1	break_1.wav	1585	2522	220	1040	1392	1836	2873	3981	4707	5128
17032305	9	False	mais	crale_soif_mais.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	4	crale	1	soif	soif_faim	jusorange	pain	jusorange.png	pain.png	1	2	mais_1	5	test	2	2	1	hey_regarde.wav	oh_regarde.wav	break_1.mov	2	884	0	break_1.wav	1499	2173	241	812	1289	1656	2541	4078	4737	5159
17032305	10	False	mais	rapoles_lire_mais.wav	"[EBPoint(0, 0), EBPoint(300, 450), EBPoint(1300, 450)]"	False	2	rapoles	1	lire	lire_ecouter	lunettesvue	ecouteurs	lunettesvue.png	ecouteurs.png	2	1	mais_2	5	test	2	1	2	wow_regarde.wav	attention_regarde.wav	break_1.mov	1	729	0	break_1.wav	1316	2025	239	771	1041	1451	2455	3946	4588	5095
